f;i;t;demand
3;143;0;1
53;108;0;1
105;329;0;1
114;195;0;1
116;235;0;1
123;112;0;1
127;423;0;1
5;134;1;1
7;320;1;2
75;349;1;1
99;363;1;1
145;19;1;1
7;320;2;1
8;318;2;1
13;127;2;1
61;101;2;1
75;349;2;1
86;232;2;1
104;83;2;2
128;315;2;1
129;111;2;1
131;398;2;1
6;135;3;1
7;320;3;1
8;318;3;1
9;323;3;1
131;398;3;1
161;231;3;1
2;325;4;1
5;134;4;1
85;231;4;1
93;223;4;1
126;416;4;1
164;434;4;1
2;325;5;6
3;143;5;6
4;324;5;8
5;134;5;4
6;135;5;10
7;320;5;1
8;318;5;5
9;323;5;5
13;127;5;1
19;120;5;1
22;128;5;1
26;117;5;4
41;113;5;1
61;101;5;5
66;204;5;1
67;248;5;1
72;347;5;1
75;349;5;1
79;331;5;1
81;79;5;1
82;337;5;2
84;326;5;1
95;328;5;1
98;75;5;1
105;329;5;1
108;197;5;1
109;201;5;1
110;176;5;3
112;189;5;1
116;235;5;1
118;264;5;5
119;275;5;4
120;243;5;3
122;276;5;1
129;111;5;1
132;380;5;1
135;397;5;1
136;325;5;1
138;29;5;1
142;32;5;1
148;42;5;1
151;60;5;3
157;207;5;1
158;215;5;1
159;224;5;2
160;221;5;1
161;231;5;1
162;434;5;1
163;434;5;1
164;434;5;1
166;431;5;1
2;325;6;5
3;143;6;6
4;324;6;4
5;134;6;8
6;135;6;3
7;320;6;8
8;318;6;7
9;323;6;10
10;121;6;2
14;141;6;1
18;140;6;1
19;120;6;1
20;135;6;1
24;95;6;1
26;117;6;1
29;108;6;1
31;91;6;1
36;113;6;1
37;93;6;1
38;107;6;1
43;85;6;1
47;109;6;1
52;105;6;1
55;98;6;1
56;84;6;1
61;101;6;5
62;202;6;2
64;244;6;1
67;248;6;1
72;347;6;1
75;349;6;2
77;337;6;1
80;337;6;1
94;280;6;1
97;329;6;1
99;363;6;1
108;197;6;2
109;201;6;1
114;195;6;1
118;264;6;6
119;275;6;6
120;243;6;7
125;423;6;1
126;416;6;1
128;315;6;1
141;34;6;1
142;32;6;1
156;216;6;1
159;224;6;1
161;231;6;2
163;434;6;1
164;434;6;1
2;325;7;3
3;143;7;6
4;324;7;7
5;134;7;7
6;135;7;10
7;320;7;11
8;318;7;2
9;323;7;7
20;135;7;1
23;132;7;1
35;83;7;1
47;109;7;1
49;115;7;1
56;84;7;1
61;101;7;8
75;349;7;1
90;355;7;1
96;282;7;1
99;363;7;1
104;83;7;2
105;329;7;1
107;203;7;1
108;197;7;2
111;204;7;1
114;195;7;1
116;235;7;1
118;264;7;6
119;275;7;8
120;243;7;8
125;423;7;3
126;416;7;1
133;389;7;1
135;397;7;1
136;325;7;2
138;29;7;1
141;34;7;1
142;32;7;1
143;10;7;1
146;21;7;2
147;145;7;1
148;42;7;2
153;205;7;1
159;224;7;1
160;221;7;3
162;434;7;1
163;434;7;1
164;434;7;1
167;431;7;1
2;325;8;17
3;143;8;15
4;324;8;11
5;134;8;18
6;135;8;17
7;320;8;12
8;318;8;13
9;323;8;14
11;100;8;3
14;141;8;1
19;120;8;1
24;95;8;1
26;117;8;7
27;99;8;1
30;101;8;1
34;88;8;1
38;107;8;1
40;104;8;1
45;113;8;1
46;107;8;1
47;109;8;1
52;105;8;1
53;108;8;1
54;93;8;1
59;107;8;1
61;101;8;10
65;302;8;1
67;248;8;1
73;26;8;1
74;136;8;1
75;349;8;2
76;327;8;1
78;338;8;2
