f;i;t;demand
1;318;0;2
15;240;1;1
1;318;3;2
1;318;5;8
2;131;5;1
6;107;5;1
13;273;5;1
14;253;5;2
15;240;5;1
1;318;6;5
6;107;6;1
10;357;6;1
11;196;6;1
13;273;6;1
14;253;6;1
15;240;6;2
17;415;6;1
18;421;6;2
1;318;7;17
4;101;7;1
15;240;7;2
16;255;7;1
19;395;7;1
1;318;8;14
4;101;8;3
6;107;8;2
8;232;8;2
10;357;8;1
11;196;8;1
12;175;8;1
15;240;8;2
16;255;8;5
21;432;8;1
1;318;9;28
2;131;9;2
5;99;9;1
6;107;9;1
7;348;9;1
9;361;9;1
13;273;9;1
15;240;9;1
18;421;9;1
19;395;9;1
21;432;9;2
1;318;10;21
6;107;10;1
8;232;10;1
11;196;10;1
15;240;10;2
16;255;10;1
20;210;10;1
1;318;11;22
2;131;11;3
4;101;11;1
8;232;11;1
10;357;11;1
11;196;11;1
12;175;11;2
13;273;11;1
14;253;11;1
15;240;11;4
16;255;11;2
19;395;11;1
20;210;11;1
1;318;12;29
2;131;12;1
4;101;12;1
6;107;12;3
10;357;12;1
13;273;12;1
15;240;12;1
16;255;12;4
1;318;13;11
5;99;13;1
6;107;13;4
9;361;13;1
15;240;13;1
16;255;13;4
1;318;14;14
2;131;14;1
4;101;14;1
5;99;14;1
13;273;14;1
14;253;14;4
21;432;14;2
1;318;15;14
3;87;15;1
4;101;15;1
9;361;15;1
14;253;15;1
15;240;15;3
16;255;15;1
18;421;15;1
21;432;15;1
1;318;16;20
6;107;16;1
12;175;16;1
15;240;16;2
16;255;16;3
17;415;16;1
1;318;17;23
2;131;17;2
5;99;17;1
6;107;17;2
7;348;17;1
8;232;17;1
11;196;17;2
14;253;17;4
16;255;17;4
18;421;17;1
1;318;18;21
5;99;18;2
6;107;18;1
9;361;18;1
12;175;18;1
14;253;18;3
15;240;18;1
16;255;18;3
18;421;18;1
20;210;18;1
1;318;19;5
9;361;19;1
16;255;19;1
19;395;19;1
1;318;20;7
2;131;20;1
14;253;20;1
16;255;20;1
18;421;20;1
1;318;21;1
11;196;21;1
2;131;22;1
11;196;22;1
12;175;22;1
5;99;23;1
15;240;23;1
1;318;27;1
1;318;28;1
