i;j;t;demand
353;120;67;1
138;154;65;1
112;431;101;1
119;345;67;1
331;220;67;1
110;421;106;1
239;213;66;1
429;248;82;1
101;109;159;1
247;109;138;1
74;206;105;1
86;3;9;1
120;431;165;1
375;236;66;1
100;431;116;1
302;403;44;1
118;319;140;1
136;212;19;1
378;91;144;1
106;375;41;1
332;47;118;1
64;137;74;1
89;431;164;1
115;380;140;1
351;99;7;1
224;47;46;1
173;164;121;1
319;142;119;1
109;116;84;1
98;113;87;1
118;85;13;1
335;218;124;1
186;310;144;1
345;399;164;1
92;265;114;1
140;116;146;1
85;155;92;1
90;134;46;1
270;351;165;1
236;199;111;1
190;177;43;1
92;394;33;1
356;16;9;1
117;176;139;1
81;336;145;1
409;39;144;1
247;215;45;1
265;304;133;1
184;128;59;1
399;242;92;1
96;304;14;1
387;345;117;1
431;394;140;1
415;263;37;1
24;111;83;1
41;27;150;1
345;127;20;1
137;43;69;1
139;336;120;1
210;148;140;1
12;186;40;1
201;243;116;1
82;167;1;1
136;92;79;1
228;357;19;1
140;310;79;1
189;272;32;1
135;277;162;1
98;325;142;1
295;302;159;1
123;253;98;1
55;128;135;1
215;420;23;1
308;303;153;1
104;316;80;1
390;28;149;1
92;431;60;1
270;266;80;1
353;63;43;1
99;140;84;1
276;414;18;1
325;321;86;1
142;35;54;1
96;128;90;1
424;124;21;1
154;34;81;1
275;345;62;1
303;93;61;1
406;381;105;1
111;215;131;1
257;307;141;1
116;357;9;1
132;373;132;1
338;88;90;1
256;260;80;1
79;110;28;1
110;110;130;1
276;431;8;1
192;89;142;1
91;364;161;1
138;127;115;1
410;388;17;1
203;338;140;1
186;234;58;1
349;312;46;1
84;122;92;1
139;349;13;1
241;136;156;1
151;18;116;1
106;73;41;1
383;419;35;1
339;45;80;1
104;43;120;1
261;270;82;1
128;352;143;1
97;356;22;1
249;97;41;1
45;123;24;1
312;400;115;1
11;87;33;1
250;306;42;1
104;129;6;1
195;305;8;1
273;203;130;1
48;376;137;1
107;410;138;1
107;177;87;1
341;38;81;1
302;104;107;1
431;95;161;1
267;268;105;1
297;313;55;1
431;399;160;1
4;38;119;1
85;168;21;1
177;335;96;1
406;386;130;1
94;339;39;1
26;147;140;1
86;431;87;1
260;314;161;1
102;303;34;1
85;21;84;1
173;102;137;1
393;311;95;1
187;314;77;1
382;252;9;1
111;302;47;1
239;246;55;1
229;334;61;1
172;161;14;1
259;407;160;1
340;170;142;1
402;325;135;1
372;135;7;1
396;302;147;1
95;53;94;1
101;126;31;1
351;109;107;1
13;333;20;1
107;394;158;1
48;70;157;1
141;73;152;1
324;355;116;1
170;192;115;1
112;256;164;1
130;135;162;1
136;270;117;1
83;324;50;1
107;247;116;1
410;97;102;1
100;313;71;1
203;111;140;1
180;192;29;1
260;195;109;1
389;423;21;1
132;302;147;1
217;106;139;1
327;102;57;1
425;131;56;1
13;107;135;1
15;16;21;1
131;86;97;1
28;246;166;1
85;51;118;1
192;247;116;1
48;131;130;1
62;142;13;1
353;96;78;1
355;12;67;1
199;405;153;1
122;248;45;1
185;363;80;1
148;139;144;1
163;84;141;1
115;25;43;1
44;35;11;1
344;21;103;1
259;431;68;1
329;179;56;1
102;324;39;1
405;325;141;1
105;431;118;1
138;102;136;1
335;26;157;1
286;195;110;1
244;132;140;1
309;434;33;1
410;32;161;1
117;86;122;1
204;375;48;1
200;86;51;1
93;381;85;1
1;85;82;1
320;119;117;1
205;68;139;1
102;95;120;1
411;106;22;1
119;191;57;1
134;56;139;1
104;13;116;1
85;269;103;1
367;71;138;1
242;75;95;1
143;103;57;1
133;126;157;1
136;125;157;1
377;64;44;1
60;172;138;1
380;4;30;1
204;96;19;1
107;333;156;1
317;422;142;1
52;74;79;1
305;31;127;1
431;258;15;1
128;111;49;1
20;70;127;1
325;315;153;1
410;10;71;1
225;243;7;1
377;353;82;1
94;396;122;1
24;139;140;1
313;322;56;1
271;369;145;1
376;404;84;1
92;188;141;1
126;120;160;1
131;25;60;1
100;414;142;1
306;254;115;1
164;230;90;1
316;140;44;1
116;80;163;1
340;199;96;1
189;108;151;1
375;277;84;1
113;121;33;1
164;395;106;1
274;263;37;1
54;40;58;1
428;258;8;1
150;43;78;1
19;302;115;1
303;206;76;1
410;305;97;1
182;431;68;1
194;274;126;1
87;5;20;1
97;99;97;1
210;89;166;1
144;5;112;1
120;142;143;1
202;170;20;1
350;318;164;1
121;342;117;1
150;11;31;1
317;418;46;1
129;107;160;1
85;267;20;1
29;97;53;1
242;253;145;1
237;416;36;1
258;235;104;1
108;434;36;1
104;431;105;1
374;412;13;1
217;124;23;1
45;108;30;1
107;141;53;1
176;431;149;1
309;84;141;1
141;102;130;1
344;95;166;1
350;434;79;1
89;73;68;1
315;273;138;1
402;27;140;1
109;377;134;1
38;88;110;1
15;26;137;1
27;316;139;1
108;324;64;1
310;247;143;1
301;99;108;1
413;408;105;1
186;330;138;1
235;431;155;1
96;321;119;1
404;88;146;1
130;32;160;1
248;203;90;1
174;138;15;1
409;377;56;1
431;93;134;1
357;401;112;1
412;236;54;1
224;219;94;1
11;431;110;1
111;147;90;1
18;141;71;1
5;140;6;1
242;224;93;1
331;16;117;1
96;194;38;1
256;419;139;1
356;276;21;1
113;55;138;1
34;353;146;1
313;102;60;1
114;86;135;1
162;333;128;1
106;341;163;1
429;111;80;1
71;67;19;1
104;187;143;1
337;154;56;1
117;121;70;1
97;261;147;1
4;180;148;1
211;190;66;1
414;178;119;1
6;22;57;1
242;95;61;1
181;373;88;1
12;14;158;1
58;81;116;1
415;198;40;1
119;81;69;1
160;72;85;1
143;174;136;1
30;83;142;1
21;161;82;1
232;129;42;1
16;306;68;1
249;431;112;1
396;21;8;1
275;346;49;1
41;170;161;1
91;183;117;1
425;404;156;1
168;405;18;1
223;410;74;1
178;140;68;1
411;96;92;1
113;95;86;1
23;312;45;1
107;400;137;1
165;78;118;1
85;89;156;1
322;148;138;1
95;322;84;1
296;253;69;1
191;133;44;1
195;182;68;1
192;431;31;1
160;309;141;1
111;331;78;1
410;118;13;1
94;7;86;1
275;170;65;1
125;97;155;1
318;431;14;1
155;34;92;1
311;92;139;1
99;431;56;1
369;133;32;1
99;431;8;1
431;190;17;1
229;297;141;1
393;431;153;1
400;167;129;1
421;39;146;1
127;197;45;1
308;96;66;1
122;186;157;1
278;89;65;1
312;106;23;1
149;13;121;1
241;167;157;1
188;95;105;1
321;104;57;1
339;232;82;1
121;230;24;1
199;114;30;1
89;101;139;1
37;431;37;1
44;20;161;1
254;197;143;1
349;86;136;1
268;387;89;1
325;317;33;1
72;103;65;1
302;93;111;1
9;149;92;1
333;174;132;1
149;57;132;1
99;26;49;1
324;338;92;1
189;431;115;1
92;105;124;1
386;134;90;1
110;210;80;1
57;77;158;1
154;339;59;1
124;7;34;1
54;150;72;1
313;177;71;1
321;203;123;1
355;82;133;1
319;263;117;1
125;210;167;1
1;107;113;1
348;91;38;1
169;267;57;1
406;244;128;1
309;209;113;1
387;127;7;1
109;407;78;1
405;347;119;1
199;230;134;1
245;139;109;1
183;321;115;1
106;170;167;1
203;169;67;1
378;356;155;1
127;366;11;1
329;181;5;1
7;386;35;1
339;241;143;1
309;204;113;1
140;152;0;1
401;236;141;1
108;139;37;1
108;13;160;1
168;352;38;1
89;402;153;1
316;373;71;1
121;120;31;1
304;404;113;1
241;192;119;1
233;89;158;1
26;333;66;1
92;121;140;1
332;212;85;1
378;129;87;1
172;202;14;1
68;280;114;1
422;89;102;1
14;345;110;1
377;316;69;1
345;133;21;1
88;431;38;1
349;7;143;1
100;319;18;1
29;99;71;1
107;429;167;1
104;434;112;1
57;332;73;1
381;12;141;1
204;199;116;1
309;431;33;1
66;124;127;1
16;310;134;1
159;7;141;1
247;373;70;1
183;172;147;1
396;104;10;1
431;381;43;1
175;85;144;1
138;176;167;1
107;109;20;1
350;171;24;1
140;108;81;1
339;356;157;1
96;314;13;1
108;135;85;1
413;389;158;1
351;386;37;1
371;363;121;1
193;129;143;1
378;108;20;1
431;86;68;1
393;255;48;1
145;349;54;1
103;415;47;1
123;87;111;1
179;122;63;1
431;34;136;1
128;282;94;1
222;65;157;1
167;431;162;1
