f;i;t;demand
38;230;0;1
1;324;1;1
26;261;1;1
20;119;2;1
21;118;2;1
26;261;2;1
3;125;3;1
26;261;3;1
3;125;4;1
1;324;5;8
2;100;5;4
8;104;5;1
9;97;5;1
17;370;5;2
22;119;5;1
24;190;5;1
26;261;5;7
29;424;5;1
30;350;5;1
32;383;5;2
33;33;5;2
35;41;5;1
42;431;5;1
1;324;6;9
2;100;6;9
7;87;6;4
9;97;6;2
19;371;6;1
22;119;6;3
23;175;6;1
26;261;6;6
28;314;6;1
30;350;6;1
38;230;6;1
1;324;7;2
2;100;7;5
8;104;7;1
23;175;7;2
26;261;7;3
27;399;7;1
29;424;7;1
36;72;7;1
38;230;7;3
1;324;8;12
2;100;8;20
7;87;8;1
8;104;8;1
9;97;8;3
13;25;8;1
14;82;8;3
15;75;8;1
23;175;8;4
24;190;8;1
26;261;8;19
28;314;8;1
30;350;8;1
32;383;8;1
34;17;8;1
35;41;8;1
37;65;8;1
38;230;8;2
42;431;8;2
1;324;9;14
2;100;9;15
3;125;9;1
4;104;9;1
5;114;9;3
6;104;9;1
7;87;9;4
8;104;9;3
9;97;9;2
12;50;9;2
16;227;9;1
17;370;9;2
19;371;9;1
20;119;9;1
23;175;9;1
26;261;9;11
30;350;9;1
42;431;9;1
1;324;10;13
2;100;10;13
5;114;10;1
7;87;10;2
8;104;10;3
9;97;10;2
10;302;10;1
11;39;10;1
13;25;10;1
14;82;10;1
16;227;10;1
21;118;10;2
23;175;10;2
26;261;10;16
28;314;10;2
30;350;10;1
31;353;10;1
33;33;10;1
37;65;10;1
38;230;10;3
39;433;10;1
42;431;10;2
1;324;11;19
2;100;11;16
3;125;11;2
4;104;11;1
7;87;11;1
8;104;11;1
9;97;11;4
11;39;11;1
12;50;11;1
14;82;11;1
16;227;11;1
19;371;11;2
22;119;11;1
23;175;11;3
26;261;11;16
27;399;11;2
28;314;11;1
29;424;11;1
30;350;11;1
35;41;11;1
38;230;11;3
39;433;11;1
1;324;12;12
2;100;12;15
3;125;12;1
5;114;12;1
7;87;12;5
8;104;12;1
9;97;12;3
18;76;12;1
23;175;12;4
26;261;12;25
27;399;12;1
29;424;12;3
32;383;12;1
38;230;12;3
42;431;12;2
1;324;13;12
