i;j;t;demand
1;47;20;1
1;51;66;1
1;54;142;1
1;72;153;1
1;87;115;1
1;114;6;1
1;154;140;1
1;180;78;1
1;248;119;1
1;314;158;1
1;351;134;1
1;381;44;1
1;404;140;1
2;114;56;1
2;205;139;1
2;221;82;1
2;269;55;1
2;271;162;1
2;320;128;1
2;322;108;1
2;342;17;1
2;345;62;1
2;359;142;1
2;429;87;1
3;4;159;1
3;27;146;1
3;35;46;1
3;51;113;1
3;82;154;1
3;102;124;1
3;146;46;1
3;379;131;1
3;384;20;1
4;7;160;1
4;12;152;1
4;21;16;1
4;64;56;1
4;122;142;1
4;130;110;1
4;134;41;1
4;151;115;1
4;174;56;1
4;255;162;1
5;44;43;1
5;87;62;1
5;89;116;1
5;105;83;1
5;111;69;1
5;119;157;1
5;148;87;1
5;247;22;1
5;339;134;1
5;380;139;1
5;392;88;1
6;25;16;1
6;40;14;1
6;66;9;1
6;72;156;1
6;85;120;1
6;136;10;1
6;216;86;1
6;374;56;1
6;404;119;1
6;420;45;1
6;420;161;1
7;10;86;1
7;25;68;1
7;34;118;1
7;38;87;1
7;45;111;1
7;124;81;1
7;125;112;1
7;152;142;1
7;175;111;1
7;213;42;1
7;310;111;1
7;337;43;1
7;340;160;1
7;347;21;1
8;2;161;1
8;3;103;1
8;8;63;1
8;86;142;1
8;89;129;1
8;98;163;1
8;126;159;1
8;151;66;1
8;153;44;1
8;173;18;1
8;186;161;1
8;198;160;1
9;142;20;1
9;181;105;1
9;224;106;1
9;232;91;1
9;247;145;1
9;299;6;1
9;320;85;1
10;3;65;1
10;12;56;1
10;65;11;1
10;71;22;1
10;79;144;1
10;80;165;1
10;91;67;1
10;93;48;1
10;98;91;1
10;130;113;1
10;198;164;1
10;199;97;1
10;238;18;1
10;341;69;1
10;342;72;1
10;343;142;1
10;409;77;1
10;426;22;1
11;43;40;1
11;55;41;1
11;74;33;1
11;88;160;1
11;109;136;1
11;138;131;1
11;193;159;1
11;279;43;1
12;11;101;1
12;20;119;1
12;27;85;1
12;65;92;1
12;67;36;1
12;105;16;1
12;134;110;1
12;172;157;1
12;177;163;1
12;309;43;1
12;321;19;1
12;344;104;1
12;348;85;1
12;349;155;1
12;388;133;1
12;389;163;1
12;395;91;1
13;42;137;1
13;51;107;1
13;52;68;1
13;100;32;1
13;115;40;1
13;134;72;1
13;192;16;1
13;195;89;1
13;311;67;1
13;321;137;1
13;385;5;1
14;1;17;1
14;10;66;1
14;54;114;1
14;55;44;1
14;68;112;1
14;137;130;1
14;387;81;1
14;402;47;1
15;35;149;1
15;55;121;1
15;137;159;1
15;324;58;1
15;387;87;1
16;64;43;1
16;111;109;1
16;255;142;1
16;306;19;1
16;322;89;1
16;330;46;1
16;344;59;1
16;401;120;1
16;411;121;1
17;12;32;1
17;19;5;1
17;102;91;1
17;211;110;1
17;229;111;1
17;270;118;1
17;330;91;1
17;395;57;1
17;401;146;1
18;100;137;1
18;124;101;1
18;135;155;1
18;189;154;1
18;331;40;1
18;399;13;1
19;395;44;1
20;14;146;1
20;36;163;1
20;91;140;1
20;100;141;1
20;153;165;1
20;178;140;1
21;254;57;1
21;305;140;1
21;312;140;1
22;44;9;1
22;246;83;1
23;34;88;1
23;302;161;1
23;359;113;1
23;378;41;1
23;431;8;1
23;431;38;1
24;30;89;1
24;96;165;1
24;98;72;1
24;115;117;1
24;261;41;1
24;360;42;1
24;393;137;1
24;395;164;1
25;11;22;1
25;34;113;1
25;45;65;1
25;100;119;1
25;109;66;1
25;109;70;1
25;112;81;1
25;188;93;1
25;204;40;1
25;247;119;1
25;271;158;1
25;316;9;1
25;339;105;1
25;347;86;1
25;348;161;1
25;400;95;1
26;44;90;1
26;47;45;1
26;97;18;1
26;104;140;1
26;105;146;1
26;121;120;1
26;130;119;1
26;134;109;1
26;135;32;1
26;139;17;1
26;146;143;1
26;176;95;1
26;192;138;1
26;229;93;1
26;267;145;1
26;308;44;1
26;319;90;1
26;325;44;1
26;387;120;1
26;407;19;1
27;8;67;1
27;47;18;1
27;98;156;1
27;130;19;1
27;227;115;1
27;303;166;1
27;332;138;1
27;346;162;1
27;352;19;1
28;4;110;1
28;55;64;1
28;121;23;1
28;345;77;1
28;349;40;1
28;349;117;1
29;4;116;1
29;10;61;1
29;52;120;1
29;79;22;1
29;109;143;1
29;110;32;1
29;176;119;1
29;301;116;1
29;305;138;1
29;323;100;1
29;357;163;1
29;383;103;1
29;425;68;1
30;43;89;1
30;113;24;1
30;124;80;1
30;305;156;1
30;431;131;1
31;46;166;1
31;50;39;1
31;51;117;1
31;143;145;1
31;184;162;1
31;270;164;1
31;317;21;1
31;376;138;1
31;431;106;1
32;48;19;1
32;51;34;1
32;92;23;1
32;94;48;1
32;114;19;1
32;170;87;1
32;216;119;1
32;234;163;1
32;242;142;1
32;319;48;1
32;431;105;1
33;26;111;1
33;389;140;1
34;29;123;1
34;55;42;1
34;128;165;1
34;225;120;1
34;383;22;1
34;432;133;1
35;69;40;1
35;97;22;1
35;98;25;1
35;227;22;1
35;381;43;1
36;35;87;1
36;47;160;1
36;99;42;1
36;407;138;1
37;4;65;1
37;93;162;1
37;110;69;1
37;125;17;1
37;177;70;1
37;227;140;1
37;273;153;1
37;311;140;1
37;321;106;1
37;420;157;1
38;29;154;1
38;42;9;1
38;78;33;1
38;82;115;1
38;134;165;1
38;329;34;1
38;431;59;1
39;111;72;1
39;114;129;1
39;123;124;1
39;378;104;1
40;10;20;1
40;47;90;1
40;65;120;1
40;114;134;1
40;302;5;1
40;310;119;1
40;431;56;1
41;38;118;1
41;43;86;1
41;43;151;1
41;65;136;1
41;116;31;1
41;136;22;1
42;5;89;1
42;8;136;1
42;49;141;1
42;100;22;1
42;114;44;1
42;125;130;1
42;187;104;1
42;344;44;1
42;406;104;1
42;424;117;1
43;7;55;1
43;110;68;1
43;156;95;1
43;355;54;1
43;427;162;1
44;45;44;1
44;56;61;1
44;159;128;1
44;185;155;1
44;297;94;1
44;377;16;1
45;19;140;1
45;36;67;1
45;42;97;1
45;60;69;1
45;136;140;1
45;138;89;1
45;182;4;1
45;226;77;1
45;247;110;1
45;266;143;1
45;320;48;1
45;375;140;1
45;387;146;1
45;431;82;1
46;125;132;1
46;141;12;1
46;153;114;1
46;247;43;1
46;252;130;1
46;333;46;1
46;431;19;1
46;431;34;1
47;47;43;1
47;52;18;1
47;60;32;1
47;91;81;1
47;108;167;1
47;167;53;1
47;168;22;1
47;195;65;1
47;200;90;1
47;348;106;1
47;393;69;1
47;408;117;1
47;425;115;1
47;431;156;1
48;8;79;1
48;27;8;1
48;34;92;1
48;105;41;1
48;180;134;1
48;306;20;1
48;348;130;1
48;373;153;1
48;394;140;1
48;425;95;1
49;28;29;1
49;82;20;1
49;86;46;1
49;138;105;1
49;225;116;1
49;227;137;1
49;406;37;1
